month_year,region,country,visitor_count
2004-07,Africa,South Africa (Rep Of),na
2004-07,Africa,Other Markets In Africa,na
2004-08,Southeast Asia,Brunei Darussalam,3286
2004-08,Southeast Asia,Indonesia,134916
2004-08,Southeast Asia,Malaysia,44390
2004-08,Southeast Asia,Myanmar,2654
2004-08,Southeast Asia,Philippines,17701
2004-08,Southeast Asia,Thailand,27482
2004-08,Southeast Asia,Vietnam,12865
2004-08,Southeast Asia,Other Markets In Southeast Asia,na
2004-08,Greater China,China,90212
2004-08,Greater China,Hong Kong SAR,30887
2004-08,Greater China,Taiwan,19708
2004-08,Greater China,Other Markets In Greater China,na
2004-08,North Asia,Japan,66617
2004-08,North Asia,South Korea,38602
2004-08,North Asia,Other Markets In North Asia,na
2004-08,South Asia,Bangladesh,4047
2004-08,South Asia,India,35777
2004-08,South Asia,Pakistan,1508
2004-08,South Asia,Sri Lanka,5555
2004-08,South Asia,Other Markets In South Asia,1714
2004-08,West Asia,Iran,434
2004-08,West Asia,Israel,na
2004-08,West Asia,Kuwait,2877
2004-08,West Asia,Saudi Arabia,1350
2004-08,West Asia,United Arab Emirates,5060
2004-08,West Asia,Other Markets In West Asia,na
2004-08,Americas,Canada,5874
2004-08,Americas,USA,28450
2004-08,Americas,Other Markets In Americas,na
2004-08,Europe,Belgium & Luxembourg,1529
2004-08,Europe,Denmark,1435
2004-08,Europe,Finland,656
2004-08,Europe,France,9350
2004-08,Europe,Germany,12305
2004-08,Europe,Italy,4399
2004-08,Europe,Netherlands,6046
2004-08,Europe,Norway,1412
2004-08,Europe,Rep Of Ireland,na
2004-08,Europe,Russian Federation,na
2004-08,Europe,Spain,2519
2004-08,Europe,Sweden,1565
2004-08,Europe,Switzerland,3237
2004-08,Europe,United Kingdom,37714
2004-08,Europe,Other Markets In Europe,na
2004-08,Oceania,Australia,44785
2004-08,Oceania,New Zealand,10555
2004-08,Oceania,Other Markets In Oceania,900
2004-08,Africa,Egypt,na
2004-08,Africa,Mauritius,na
2004-08,Africa,South Africa (Rep Of),na
2004-08,Africa,Other Markets In Africa,na
2004-09,Southeast Asia,Brunei Darussalam,2956
2004-09,Southeast Asia,Indonesia,139129
2004-09,Southeast Asia,Malaysia,40705
2004-09,Southeast Asia,Myanmar,2431
2004-09,Southeast Asia,Philippines,19447
2004-09,Southeast Asia,Thailand,26506
2004-09,Southeast Asia,Vietnam,7451
2004-09,Southeast Asia,Other Markets In Southeast Asia,na
2004-09,Greater China,China,62134
2004-09,Greater China,Hong Kong SAR,19562
2004-09,Greater China,Taiwan,13542
2004-09,Greater China,Other Markets In Greater China,na
2004-09,North Asia,Japan,62264
2004-09,North Asia,South Korea,25956
2004-09,North Asia,Other Markets In North Asia,na
2004-09,South Asia,Bangladesh,3982
2004-09,South Asia,India,35575
2004-09,South Asia,Pakistan,1415
2004-09,South Asia,Sri Lanka,5689
2004-09,South Asia,Other Markets In South Asia,1618
2004-09,West Asia,Iran,548
2004-09,West Asia,Israel,na
2004-09,West Asia,Kuwait,566
2004-09,West Asia,Saudi Arabia,529
2004-09,West Asia,United Arab Emirates,1769
2004-09,West Asia,Other Markets In West Asia,na
2004-09,Americas,Canada,4456
2004-09,Americas,USA,23229
2004-09,Americas,Other Markets In Americas,na
2004-09,Europe,Belgium & Luxembourg,1230
2004-09,Europe,Denmark,1550
2004-09,Europe,Finland,864
2004-09,Europe,France,5532
2004-09,Europe,Germany,12195
2004-09,Europe,Italy,2229
2004-09,Europe,Netherlands,4855
2004-09,Europe,Norway,1532
2004-09,Europe,Rep Of Ireland,na
2004-09,Europe,Russian Federation,na
2004-09,Europe,Spain,1274
2004-09,Europe,Sweden,1732
2004-09,Europe,Switzerland,3611
2004-09,Europe,United Kingdom,30600
2004-09,Europe,Other Markets In Europe,na
2004-09,Oceania,Australia,54696
2004-09,Oceania,New Zealand,12758
2004-09,Oceania,Other Markets In Oceania,1130
2004-09,Africa,Egypt,na
2004-09,Africa,Mauritius,na
2004-09,Africa,South Africa (Rep Of),na
2004-09,Africa,Other Markets In Africa,na
2004-10,Southeast Asia,Brunei Darussalam,3370
2004-10,Southeast Asia,Indonesia,137833
2004-10,Southeast Asia,Malaysia,43938
2004-10,Southeast Asia,Myanmar,2448
2004-10,Southeast Asia,Philippines,23540
2004-10,Southeast Asia,Thailand,39140
2004-10,Southeast Asia,Vietnam,8347
2004-10,Southeast Asia,Other Markets In Southeast Asia,na
2004-10,Greater China,China,70449
2004-10,Greater China,Hong Kong SAR,21884
2004-10,Greater China,Taiwan,13840
2004-10,Greater China,Other Markets In Greater China,na
2004-10,North Asia,Japan,51340
2004-10,North Asia,South Korea,26936
2004-10,North Asia,Other Markets In North Asia,na
2004-10,South Asia,Bangladesh,3693
2004-10,South Asia,India,39645
2004-10,South Asia,Pakistan,1212
2004-10,South Asia,Sri Lanka,7799
2004-10,South Asia,Other Markets In South Asia,1632
2004-10,West Asia,Iran,218
2004-10,West Asia,Israel,na
2004-10,West Asia,Kuwait,175
2004-10,West Asia,Saudi Arabia,296
2004-10,West Asia,United Arab Emirates,1314
2004-10,West Asia,Other Markets In West Asia,na
2004-10,Americas,Canada,5923
2004-10,Americas,USA,26403
2004-10,Americas,Other Markets In Americas,na
2004-10,Europe,Belgium & Luxembourg,1342
2004-10,Europe,Denmark,2252
2004-10,Europe,Finland,1113
2004-10,Europe,France,6354
2004-10,Europe,Germany,14064
2004-10,Europe,Italy,2243
2004-10,Europe,Netherlands,5566
2004-10,Europe,Norway,2124
2004-10,Europe,Rep Of Ireland,na
2004-10,Europe,Russian Federation,na
2004-10,Europe,Spain,1466
2004-10,Europe,Sweden,2788
2004-10,Europe,Switzerland,4297
2004-10,Europe,United Kingdom,36555
2004-10,Europe,Other Markets In Europe,na
2004-10,Oceania,Australia,51439
2004-10,Oceania,New Zealand,9855
2004-10,Oceania,Other Markets In Oceania,1101
2004-10,Africa,Egypt,na
2004-10,Africa,Mauritius,na
2004-10,Africa,South Africa (Rep Of),na
2004-10,Africa,Other Markets In Africa,na
2004-11,Southeast Asia,Brunei Darussalam,3525
2004-11,Southeast Asia,Indonesia,189734
2004-11,Southeast Asia,Malaysia,54950
2004-11,Southeast Asia,Myanmar,2262
2004-11,Southeast Asia,Philippines,20547
2004-11,Southeast Asia,Thailand,22794
2004-11,Southeast Asia,Vietnam,8020
2004-11,Southeast Asia,Other Markets In Southeast Asia,na
2004-11,Greater China,China,88223
2004-11,Greater China,Hong Kong SAR,19317
2004-11,Greater China,Taiwan,12747
2004-11,Greater China,Other Markets In Greater China,na
2004-11,North Asia,Japan,48066
2004-11,North Asia,South Korea,31623
2004-11,North Asia,Other Markets In North Asia,na
2004-11,South Asia,Bangladesh,3488
2004-11,South Asia,India,41149
2004-11,South Asia,Pakistan,996
2004-11,South Asia,Sri Lanka,5854
2004-11,South Asia,Other Markets In South Asia,1715
2004-11,West Asia,Iran,281
2004-11,West Asia,Israel,na
2004-11,West Asia,Kuwait,167
2004-11,West Asia,Saudi Arabia,397
2004-11,West Asia,United Arab Emirates,1818
2004-11,West Asia,Other Markets In West Asia,na
2004-11,Americas,Canada,6549
2004-11,Americas,USA,27698
2004-11,Americas,Other Markets In Americas,na
2004-11,Europe,Belgium & Luxembourg,1396
2004-11,Europe,Denmark,2400
2004-11,Europe,Finland,1277
2004-11,Europe,France,6332
2004-11,Europe,Germany,14881
2004-11,Europe,Italy,2371
2004-11,Europe,Netherlands,5778
2004-11,Europe,Norway,1962
2004-11,Europe,Rep Of Ireland,na
2004-11,Europe,Russian Federation,na
2004-11,Europe,Spain,1441
2004-11,Europe,Sweden,3682
2004-11,Europe,Switzerland,4501
2004-11,Europe,United Kingdom,40378
2004-11,Europe,Other Markets In Europe,na
2004-11,Oceania,Australia,43188
2004-11,Oceania,New Zealand,7110
2004-11,Oceania,Other Markets In Oceania,945
2004-11,Africa,Egypt,na
2004-11,Africa,Mauritius,na
2004-11,Africa,South Africa (Rep Of),na
2004-11,Africa,Other Markets In Africa,na
2004-12,Southeast Asia,Brunei Darussalam,7370
2004-12,Southeast Asia,Indonesia,186105
2004-12,Southeast Asia,Malaysia,57108
2004-12,Southeast Asia,Myanmar,2981
2004-12,Southeast Asia,Philippines,21838
2004-12,Southeast Asia,Thailand,32487
2004-12,Southeast Asia,Vietnam,9442
2004-12,Southeast Asia,Other Markets In Southeast Asia,na
2004-12,Greater China,China,84369
2004-12,Greater China,Hong Kong SAR,24381
2004-12,Greater China,Taiwan,14030
2004-12,Greater China,Other Markets In Greater China,na
2004-12,North Asia,Japan,51858
2004-12,North Asia,South Korea,28344
2004-12,North Asia,Other Markets In North Asia,na
2004-12,South Asia,Bangladesh,4418
2004-12,South Asia,India,44409
2004-12,South Asia,Pakistan,1146
2004-12,South Asia,Sri Lanka,6732
2004-12,South Asia,Other Markets In South Asia,2138
2004-12,West Asia,Iran,555
2004-12,West Asia,Israel,na
2004-12,West Asia,Kuwait,276
2004-12,West Asia,Saudi Arabia,346
2004-12,West Asia,United Arab Emirates,1864
2004-12,West Asia,Other Markets In West Asia,na
2004-12,Americas,Canada,7509
2004-12,Americas,USA,30558
2004-12,Americas,Other Markets In Americas,na
2004-12,Europe,Belgium & Luxembourg,1459
2004-12,Europe,Denmark,2225
2004-12,Europe,Finland,1380
2004-12,Europe,France,7053
2004-12,Europe,Germany,11276
2004-12,Europe,Italy,2051
2004-12,Europe,Netherlands,5259
2004-12,Europe,Norway,2198
2004-12,Europe,Rep Of Ireland,na
2004-12,Europe,Russian Federation,na
2004-12,Europe,Spain,1210
2004-12,Europe,Sweden,4475
2004-12,Europe,Switzerland,4143
2004-12,Europe,United Kingdom,43956
2004-12,Europe,Other Markets In Europe,na
2004-12,Oceania,Australia,57216
2004-12,Oceania,New Zealand,7627
2004-12,Oceania,Other Markets In Oceania,1268
2004-12,Africa,Egypt,na
2004-12,Africa,Mauritius,na
2004-12,Africa,South Africa (Rep Of),na
2004-12,Africa,Other Markets In Africa,na
2005-01,Southeast Asia,Brunei Darussalam,3626
2005-01,Southeast Asia,Indonesia,146228
2005-01,Southeast Asia,Malaysia,39478
2005-01,Southeast Asia,Myanmar,2498
2005-01,Southeast Asia,Philippines,18149
2005-01,Southeast Asia,Thailand,25070
2005-01,Southeast Asia,Vietnam,6590
2005-01,Southeast Asia,Other Markets In Southeast Asia,na
2005-01,Greater China,China,45801
2005-01,Greater China,Hong Kong SAR,17457
2005-01,Greater China,Taiwan,16774
2005-01,Greater China,Other Markets In Greater China,na
2005-01,North Asia,Japan,48004
2005-01,North Asia,South Korea,20386
2005-01,North Asia,Other Markets In North Asia,na
2005-01,South Asia,Bangladesh,4103
2005-01,South Asia,India,33541
2005-01,South Asia,Pakistan,1079
2005-01,South Asia,Sri Lanka,3687
2005-01,South Asia,Other Markets In South Asia,1706
2005-01,West Asia,Iran,354
2005-01,West Asia,Israel,na
2005-01,West Asia,Kuwait,228
2005-01,West Asia,Saudi Arabia,586
2005-01,West Asia,United Arab Emirates,1661
2005-01,West Asia,Other Markets In West Asia,na
2005-01,Americas,Canada,8100
2005-01,Americas,USA,31813
2005-01,Americas,Other Markets In Americas,na
2005-01,Europe,Belgium & Luxembourg,1368
2005-01,Europe,Denmark,2787
2005-01,Europe,Finland,1421
2005-01,Europe,France,5885
2005-01,Europe,Germany,12093
2005-01,Europe,Italy,2217
2005-01,Europe,Netherlands,6257
2005-01,Europe,Norway,2253
2005-01,Europe,Rep Of Ireland,na
2005-01,Europe,Russian Federation,na
2005-01,Europe,Spain,1105
2005-01,Europe,Sweden,4135
2005-01,Europe,Switzerland,3981
2005-01,Europe,United Kingdom,47854
2005-01,Europe,Other Markets In Europe,na
2005-01,Oceania,Australia,62379
2005-01,Oceania,New Zealand,8638
2005-01,Oceania,Other Markets In Oceania,1338
2005-01,Africa,Egypt,na
2005-01,Africa,Mauritius,na
2005-01,Africa,South Africa (Rep Of),na
2005-01,Africa,Other Markets In Africa,na
2005-02,Southeast Asia,Brunei Darussalam,2811
2005-02,Southeast Asia,Indonesia,120901
2005-02,Southeast Asia,Malaysia,40338
2005-02,Southeast Asia,Myanmar,2300
2005-02,Southeast Asia,Philippines,18763
2005-02,Southeast Asia,Thailand,26578
2005-02,Southeast Asia,Vietnam,9030
2005-02,Southeast Asia,Other Markets In Southeast Asia,na
2005-02,Greater China,China,61601
2005-02,Greater China,Hong Kong SAR,28713
2005-02,Greater China,Taiwan,19104
2005-02,Greater China,Other Markets In Greater China,na
2005-02,North Asia,Japan,40310
2005-02,North Asia,South Korea,24531
2005-02,North Asia,Other Markets In North Asia,na
2005-02,South Asia,Bangladesh,3100
2005-02,South Asia,India,29091
2005-02,South Asia,Pakistan,836
2005-02,South Asia,Sri Lanka,3933
2005-02,South Asia,Other Markets In South Asia,1507
2005-02,West Asia,Iran,268
2005-02,West Asia,Israel,na
2005-02,West Asia,Kuwait,206
2005-02,West Asia,Saudi Arabia,250
2005-02,West Asia,United Arab Emirates,1142
2005-02,West Asia,Other Markets In West Asia,na
2005-02,Americas,Canada,6366
2005-02,Americas,USA,28453
2005-02,Americas,Other Markets In Americas,na
2005-02,Europe,Belgium & Luxembourg,1379
2005-02,Europe,Denmark,3269
2005-02,Europe,Finland,1321
2005-02,Europe,France,6700
2005-02,Europe,Germany,13051
2005-02,Europe,Italy,1947
2005-02,Europe,Netherlands,5932
2005-02,Europe,Norway,2313
2005-02,Europe,Rep Of Ireland,na
2005-02,Europe,Russian Federation,na
2005-02,Europe,Spain,1098
2005-02,Europe,Sweden,3684
2005-02,Europe,Switzerland,4037
2005-02,Europe,United Kingdom,46323
2005-02,Europe,Other Markets In Europe,na
2005-02,Oceania,Australia,39562
2005-02,Oceania,New Zealand,5603
2005-02,Oceania,Other Markets In Oceania,950
2005-02,Africa,Egypt,na
2005-02,Africa,Mauritius,na
2005-02,Africa,South Africa (Rep Of),na
2005-02,Africa,Other Markets In Africa,na
2005-03,Southeast Asia,Brunei Darussalam,4570
2005-03,Southeast Asia,Indonesia,151096
2005-03,Southeast Asia,Malaysia,47677
2005-03,Southeast Asia,Myanmar,3084
2005-03,Southeast Asia,Philippines,25520
2005-03,Southeast Asia,Thailand,37515
2005-03,Southeast Asia,Vietnam,9335
2005-03,Southeast Asia,Other Markets In Southeast Asia,na
2005-03,Greater China,China,52249
2005-03,Greater China,Hong Kong SAR,31089
2005-03,Greater China,Taiwan,15669
2005-03,Greater China,Other Markets In Greater China,na
2005-03,North Asia,Japan,52225
2005-03,North Asia,South Korea,23476
2005-03,North Asia,Other Markets In North Asia,na
2005-03,South Asia,Bangladesh,4401
2005-03,South Asia,India,43064
2005-03,South Asia,Pakistan,1213
2005-03,South Asia,Sri Lanka,5075
2005-03,South Asia,Other Markets In South Asia,1613
2005-03,West Asia,Iran,2365
2005-03,West Asia,Israel,na
2005-03,West Asia,Kuwait,151
2005-03,West Asia,Saudi Arabia,344
2005-03,West Asia,United Arab Emirates,1792
2005-03,West Asia,Other Markets In West Asia,na
2005-03,Americas,Canada,6608
2005-03,Americas,USA,33209
2005-03,Americas,Other Markets In Americas,na
2005-03,Europe,Belgium & Luxembourg,1642
2005-03,Europe,Denmark,3108
2005-03,Europe,Finland,1260
2005-03,Europe,France,6927
2005-03,Europe,Germany,16427
2005-03,Europe,Italy,2293
2005-03,Europe,Netherlands,5564
2005-03,Europe,Norway,2763
2005-03,Europe,Rep Of Ireland,na
2005-03,Europe,Russian Federation,na
2005-03,Europe,Spain,1398
2005-03,Europe,Sweden,3821
2005-03,Europe,Switzerland,4224
2005-03,Europe,United Kingdom,53323
2005-03,Europe,Other Markets In Europe,na
2005-03,Oceania,Australia,43282
2005-03,Oceania,New Zealand,7365
2005-03,Oceania,Other Markets In Oceania,1134
2005-03,Africa,Egypt,na
2005-03,Africa,Mauritius,na
2005-03,Africa,South Africa (Rep Of),na
2005-03,Africa,Other Markets In Africa,na
2005-04,Southeast Asia,Brunei Darussalam,3529
2005-04,Southeast Asia,Indonesia,132420
2005-04,Southeast Asia,Malaysia,47509
2005-04,Southeast Asia,Myanmar,4370
2005-04,Southeast Asia,Philippines,28754
2005-04,Southeast Asia,Thailand,43410
2005-04,Southeast Asia,Vietnam,13657
2005-04,Southeast Asia,Other Markets In Southeast Asia,na
2005-04,Greater China,China,68775
2005-04,Greater China,Hong Kong SAR,23614
2005-04,Greater China,Taiwan,16345
2005-04,Greater China,Other Markets In Greater China,na
2005-04,North Asia,Japan,41599
2005-04,North Asia,South Korea,28923
2005-04,North Asia,Other Markets In North Asia,na
2005-04,South Asia,Bangladesh,4250
2005-04,South Asia,India,44459
2005-04,South Asia,Pakistan,1198
2005-04,South Asia,Sri Lanka,8018
2005-04,South Asia,Other Markets In South Asia,2083
2005-04,West Asia,Iran,167
2005-04,West Asia,Israel,na
2005-04,West Asia,Kuwait,173
2005-04,West Asia,Saudi Arabia,445
2005-04,West Asia,United Arab Emirates,1622
2005-04,West Asia,Other Markets In West Asia,na
2005-04,Americas,Canada,5023
2005-04,Americas,USA,25776
2005-04,Americas,Other Markets In Americas,na
2005-04,Europe,Belgium & Luxembourg,1311
2005-04,Europe,Denmark,1866
2005-04,Europe,Finland,1087
2005-04,Europe,France,6871
2005-04,Europe,Germany,12633
2005-04,Europe,Italy,1930
2005-04,Europe,Netherlands,4601
2005-04,Europe,Norway,1760
2005-04,Europe,Rep Of Ireland,na
2005-04,Europe,Russian Federation,na
2005-04,Europe,Spain,1023
2005-04,Europe,Sweden,2592
2005-04,Europe,Switzerland,3732
2005-04,Europe,United Kingdom,38553
2005-04,Europe,Other Markets In Europe,na
2005-04,Oceania,Australia,44999
2005-04,Oceania,New Zealand,9422
2005-04,Oceania,Other Markets In Oceania,899
2005-04,Africa,Egypt,na
2005-04,Africa,Mauritius,na
2005-04,Africa,South Africa (Rep Of),na
2005-04,Africa,Other Markets In Africa,na
2005-05,Southeast Asia,Brunei Darussalam,3455
2005-05,Southeast Asia,Indonesia,135357
2005-05,Southeast Asia,Malaysia,47577
2005-05,Southeast Asia,Myanmar,3196
2005-05,Southeast Asia,Philippines,34121
2005-05,Southeast Asia,Thailand,33739
2005-05,Southeast Asia,Vietnam,12535
2005-05,Southeast Asia,Other Markets In Southeast Asia,na
2005-05,Greater China,China,62872
2005-05,Greater China,Hong Kong SAR,25187
2005-05,Greater China,Taiwan,16019
2005-05,Greater China,Other Markets In Greater China,na
2005-05,North Asia,Japan,43968
2005-05,North Asia,South Korea,28927
2005-05,North Asia,Other Markets In North Asia,na
2005-05,South Asia,Bangladesh,4042
2005-05,South Asia,India,71892
2005-05,South Asia,Pakistan,1175
2005-05,South Asia,Sri Lanka,5315
2005-05,South Asia,Other Markets In South Asia,1790
2005-05,West Asia,Iran,241
2005-05,West Asia,Israel,na
2005-05,West Asia,Kuwait,162
2005-05,West Asia,Saudi Arabia,395
2005-05,West Asia,United Arab Emirates,1625
2005-05,West Asia,Other Markets In West Asia,na
2005-05,Americas,Canada,5212
2005-05,Americas,USA,28910
2005-05,Americas,Other Markets In Americas,na
2005-05,Europe,Belgium & Luxembourg,1134
2005-05,Europe,Denmark,1755
2005-05,Europe,Finland,1028
2005-05,Europe,France,6113
2005-05,Europe,Germany,11798
2005-05,Europe,Italy,2011
2005-05,Europe,Netherlands,4783
2005-05,Europe,Norway,1284
2005-05,Europe,Rep Of Ireland,na
2005-05,Europe,Russian Federation,na
2005-05,Europe,Spain,1068
2005-05,Europe,Sweden,2059
2005-05,Europe,Switzerland,3230
2005-05,Europe,United Kingdom,27649
2005-05,Europe,Other Markets In Europe,na
2005-05,Oceania,Australia,46175
2005-05,Oceania,New Zealand,10440
2005-05,Oceania,Other Markets In Oceania,1067
2005-05,Africa,Egypt,na
2005-05,Africa,Mauritius,na
2005-05,Africa,South Africa (Rep Of),na
2005-05,Africa,Other Markets In Africa,na
2005-06,Southeast Asia,Brunei Darussalam,5248
2005-06,Southeast Asia,Indonesia,161399
2005-06,Southeast Asia,Malaysia,53485
2005-06,Southeast Asia,Myanmar,3361
2005-06,Southeast Asia,Philippines,26305
2005-06,Southeast Asia,Thailand,30260
2005-06,Southeast Asia,Vietnam,16788
2005-06,Southeast Asia,Other Markets In Southeast Asia,na
2005-06,Greater China,China,61150
2005-06,Greater China,Hong Kong SAR,23843
2005-06,Greater China,Taiwan,16710
2005-06,Greater China,Other Markets In Greater China,na
2005-06,North Asia,Japan,43020
2005-06,North Asia,South Korea,32366
2005-06,North Asia,Other Markets In North Asia,na
2005-06,South Asia,Bangladesh,4907
2005-06,South Asia,India,65849
2005-06,South Asia,Pakistan,1663
2005-06,South Asia,Sri Lanka,5280
2005-06,South Asia,Other Markets In South Asia,1916
2005-06,West Asia,Iran,351
2005-06,West Asia,Israel,na
2005-06,West Asia,Kuwait,478
2005-06,West Asia,Saudi Arabia,669
2005-06,West Asia,United Arab Emirates,2504
2005-06,West Asia,Other Markets In West Asia,na
2005-06,Americas,Canada,4783
2005-06,Americas,USA,33215
2005-06,Americas,Other Markets In Americas,na
2005-06,Europe,Belgium & Luxembourg,1221
2005-06,Europe,Denmark,2153
2005-06,Europe,Finland,1152
2005-06,Europe,France,5352
2005-06,Europe,Germany,9240
2005-06,Europe,Italy,2169
2005-06,Europe,Netherlands,4553
2005-06,Europe,Norway,1811
2005-06,Europe,Rep Of Ireland,na
2005-06,Europe,Russian Federation,na
2005-06,Europe,Spain,1139
2005-06,Europe,Sweden,2183
2005-06,Europe,Switzerland,2827
2005-06,Europe,United Kingdom,27311
2005-06,Europe,Other Markets In Europe,na
2005-06,Oceania,Australia,55188
2005-06,Oceania,New Zealand,11481
2005-06,Oceania,Other Markets In Oceania,961
2005-06,Africa,Egypt,na
2005-06,Africa,Mauritius,na
2005-06,Africa,South Africa (Rep Of),na
2005-06,Africa,Other Markets In Africa,na
2005-07,Southeast Asia,Brunei Darussalam,3738
2005-07,Southeast Asia,Indonesia,192448
2005-07,Southeast Asia,Malaysia,44301
2005-07,Southeast Asia,Myanmar,3628
2005-07,Southeast Asia,Philippines,25811
2005-07,Southeast Asia,Thailand,31991
2005-07,Southeast Asia,Vietnam,22286
2005-07,Southeast Asia,Other Markets In Southeast Asia,na
2005-07,Greater China,China,93889
2005-07,Greater China,Hong Kong SAR,35295
2005-07,Greater China,Taiwan,27702
2005-07,Greater China,Other Markets In Greater China,na
2005-07,North Asia,Japan,49791
2005-07,North Asia,South Korea,42961
2005-07,North Asia,Other Markets In North Asia,na
2005-07,South Asia,Bangladesh,5687
2005-07,South Asia,India,51155
2005-07,South Asia,Pakistan,1854
2005-07,South Asia,Sri Lanka,5665
2005-07,South Asia,Other Markets In South Asia,1925
2005-07,West Asia,Iran,358
2005-07,West Asia,Israel,na
2005-07,West Asia,Kuwait,1129
2005-07,West Asia,Saudi Arabia,1263
2005-07,West Asia,United Arab Emirates,4942
2005-07,West Asia,Other Markets In West Asia,na
2005-07,Americas,Canada,6501
2005-07,Americas,USA,36069
2005-07,Americas,Other Markets In Americas,na
2005-07,Europe,Belgium & Luxembourg,1671
2005-07,Europe,Denmark,2753
2005-07,Europe,Finland,933
2005-07,Europe,France,8243
2005-07,Europe,Germany,11736
2005-07,Europe,Italy,2791
2005-07,Europe,Netherlands,6993
2005-07,Europe,Norway,2528
2005-07,Europe,Rep Of Ireland,na
2005-07,Europe,Russian Federation,na
2005-07,Europe,Spain,1809
2005-07,Europe,Sweden,2208
2005-07,Europe,Switzerland,4386
2005-07,Europe,United Kingdom,35875
2005-07,Europe,Other Markets In Europe,na
2005-07,Oceania,Australia,60895
2005-07,Oceania,New Zealand,14219
2005-07,Oceania,Other Markets In Oceania,1068
2005-07,Africa,Egypt,na
2005-07,Africa,Mauritius,na
2005-07,Africa,South Africa (Rep Of),na
2005-07,Africa,Other Markets In Africa,na
2005-08,Southeast Asia,Brunei Darussalam,3220
2005-08,Southeast Asia,Indonesia,134727
2005-08,Southeast Asia,Malaysia,45880
2005-08,Southeast Asia,Myanmar,2903
2005-08,Southeast Asia,Philippines,27093
2005-08,Southeast Asia,Thailand,29772
2005-08,Southeast Asia,Vietnam,17920
2005-08,Southeast Asia,Other Markets In Southeast Asia,na
2005-08,Greater China,China,101134
2005-08,Greater China,Hong Kong SAR,38649
2005-08,Greater China,Taiwan,22950
2005-08,Greater China,Other Markets In Greater China,na
2005-08,North Asia,Japan,61522
2005-08,North Asia,South Korea,42791
2005-08,North Asia,Other Markets In North Asia,na
2005-08,South Asia,Bangladesh,5034
2005-08,South Asia,India,44678
2005-08,South Asia,Pakistan,1679
2005-08,South Asia,Sri Lanka,6158
2005-08,South Asia,Other Markets In South Asia,1899
2005-08,West Asia,Iran,491
2005-08,West Asia,Israel,na
2005-08,West Asia,Kuwait,1492
2005-08,West Asia,Saudi Arabia,1170
2005-08,West Asia,United Arab Emirates,5086
2005-08,West Asia,Other Markets In West Asia,na
2005-08,Americas,Canada,6723
2005-08,Americas,USA,31816
2005-08,Americas,Other Markets In Americas,na
2005-08,Europe,Belgium & Luxembourg,1728
2005-08,Europe,Denmark,2091
2005-08,Europe,Finland,762
2005-08,Europe,France,10103
2005-08,Europe,Germany,13070
2005-08,Europe,Italy,5048
2005-08,Europe,Netherlands,6112
2005-08,Europe,Norway,1379
2005-08,Europe,Rep Of Ireland,na
2005-08,Europe,Russian Federation,na
2005-08,Europe,Spain,2504
2005-08,Europe,Sweden,1653
2005-08,Europe,Switzerland,3637
2005-08,Europe,United Kingdom,39335
2005-08,Europe,Other Markets In Europe,na
2005-08,Oceania,Australia,48381
2005-08,Oceania,New Zealand,11235
2005-08,Oceania,Other Markets In Oceania,972
2005-08,Africa,Egypt,na
2005-08,Africa,Mauritius,na
2005-08,Africa,South Africa (Rep Of),na
2005-08,Africa,Other Markets In Africa,na
2005-09,Southeast Asia,Brunei Darussalam,3983
2005-09,Southeast Asia,Indonesia,136276
2005-09,Southeast Asia,Malaysia,43998
2005-09,Southeast Asia,Myanmar,2666
2005-09,Southeast Asia,Philippines,27510
2005-09,Southeast Asia,Thailand,28915
2005-09,Southeast Asia,Vietnam,10764
2005-09,Southeast Asia,Other Markets In Southeast Asia,na
2005-09,Greater China,China,67061
2005-09,Greater China,Hong Kong SAR,23649
2005-09,Greater China,Taiwan,15670
2005-09,Greater China,Other Markets In Greater China,na
2005-09,North Asia,Japan,57085
2005-09,North Asia,South Korea,25572
2005-09,North Asia,Other Markets In North Asia,na
2005-09,South Asia,Bangladesh,4577
2005-09,South Asia,India,43975
2005-09,South Asia,Pakistan,1393
2005-09,South Asia,Sri Lanka,5625
2005-09,South Asia,Other Markets In South Asia,2025
2005-09,West Asia,Iran,896
2005-09,West Asia,Israel,na
2005-09,West Asia,Kuwait,411
2005-09,West Asia,Saudi Arabia,783
2005-09,West Asia,United Arab Emirates,2089
2005-09,West Asia,Other Markets In West Asia,na
2005-09,Americas,Canada,4882
2005-09,Americas,USA,25977
2005-09,Americas,Other Markets In Americas,na
2005-09,Europe,Belgium & Luxembourg,1097
2005-09,Europe,Denmark,2293
2005-09,Europe,Finland,1011
2005-09,Europe,France,5708
2005-09,Europe,Germany,12800
2005-09,Europe,Italy,2494
2005-09,Europe,Netherlands,4803
2005-09,Europe,Norway,1553
2005-09,Europe,Rep Of Ireland,na
2005-09,Europe,Russian Federation,na
2005-09,Europe,Spain,1457
2005-09,Europe,Sweden,1697
2005-09,Europe,Switzerland,3590
2005-09,Europe,United Kingdom,31655
2005-09,Europe,Other Markets In Europe,na
2005-09,Oceania,Australia,60587
2005-09,Oceania,New Zealand,12915
2005-09,Oceania,Other Markets In Oceania,1144
2005-09,Africa,Egypt,na
2005-09,Africa,Mauritius,na
2005-09,Africa,South Africa (Rep Of),na
2005-09,Africa,Other Markets In Africa,na
2005-10,Southeast Asia,Brunei Darussalam,3202
