month_year,region,country,visitor_count
2000-03,Europe,United Kingdom,42812
2000-03,Europe,Other Markets In Europe,
2000-03,Oceania,Australia,37471
2000-03,Oceania,New Zealand,5390
2000-03,Oceania,Other Markets In Oceania,1061
2000-03,Africa,Egypt,
2000-03,Africa,Mauritius,
2000-03,Africa,South Africa (Rep Of),
2000-03,Africa,Other Markets In Africa,
2000-04,Southeast Asia,Brunei Darussalam,5527
2000-04,Southeast Asia,Indonesia,100059
2000-04,Southeast Asia,Malaysia,47993
2000-04,Southeast Asia,Myanmar,1971
2000-04,Southeast Asia,Philippines,19269
2000-04,Southeast Asia,Thailand,29985
2000-04,Southeast Asia,Vietnam,2830
2000-04,Southeast Asia,Other Markets In Southeast Asia,
2000-04,Greater China,China,36511
2000-04,Greater China,Hong Kong SAR,29308
2000-04,Greater China,Taiwan,27737
2000-04,Greater China,Other Markets In Greater China,
2000-04,North Asia,Japan,60540
2000-04,North Asia,South Korea,27237
2000-04,North Asia,Other Markets In North Asia,
2000-04,South Asia,Bangladesh,3035
2000-04,South Asia,India,29317
2000-04,South Asia,Pakistan,3293
2000-04,South Asia,Sri Lanka,7335
2000-04,South Asia,Other Markets In South Asia,1495
2000-04,West Asia,Iran,472
2000-04,West Asia,Israel,
2000-04,West Asia,Kuwait,233
2000-04,West Asia,Saudi Arabia,760
2000-04,West Asia,United Arab Emirates,1361
2000-04,West Asia,Other Markets In West Asia,
2000-04,Americas,Canada,5610
2000-04,Americas,USA,29099
2000-04,Americas,Other Markets In Americas,
2000-04,Europe,Belgium & Luxembourg,1929
2000-04,Europe,Denmark,2006
2000-04,Europe,Finland,1638
2000-04,Europe,France,6714
2000-04,Europe,Germany,16067
2000-04,Europe,Italy,3143
2000-04,Europe,Netherlands,5492
2000-04,Europe,Norway,2230
2000-04,Europe,Rep Of Ireland,
2000-04,Europe,Russian Federation,
2000-04,Europe,Spain,1102
2000-04,Europe,Sweden,3634
2000-04,Europe,Switzerland,4519
2000-04,Europe,United Kingdom,40303
2000-04,Europe,Other Markets In Europe,
2000-04,Oceania,Australia,41391
2000-04,Oceania,New Zealand,7992
2000-04,Oceania,Other Markets In Oceania,969
2000-04,Africa,Egypt,
2000-04,Africa,Mauritius,
2000-04,Africa,South Africa (Rep Of),
2000-04,Africa,Other Markets In Africa,
2000-05,Southeast Asia,Brunei Darussalam,4586
2000-05,Southeast Asia,Indonesia,91843
2000-05,Southeast Asia,Malaysia,48783
2000-05,Southeast Asia,Myanmar,1831
2000-05,Southeast Asia,Philippines,18790
2000-05,Southeast Asia,Thailand,21959
2000-05,Southeast Asia,Vietnam,2246
2000-05,Southeast Asia,Other Markets In Southeast Asia,
2000-05,Greater China,China,37934
2000-05,Greater China,Hong Kong SAR,20822
2000-05,Greater China,Taiwan,23635
2000-05,Greater China,Other Markets In Greater China,
2000-05,North Asia,Japan,62152
2000-05,North Asia,South Korea,30739
2000-05,North Asia,Other Markets In North Asia,
2000-05,South Asia,Bangladesh,2997
2000-05,South Asia,India,43879
2000-05,South Asia,Pakistan,3199
2000-05,South Asia,Sri Lanka,4939
2000-05,South Asia,Other Markets In South Asia,1543
2000-05,West Asia,Iran,353
2000-05,West Asia,Israel,
2000-05,West Asia,Kuwait,180
2000-05,West Asia,Saudi Arabia,734
2000-05,West Asia,United Arab Emirates,1115
2000-05,West Asia,Other Markets In West Asia,
2000-05,Americas,Canada,4919
2000-05,Americas,USA,30033
2000-05,Americas,Other Markets In Americas,
2000-05,Europe,Belgium & Luxembourg,1445
2000-05,Europe,Denmark,1442
2000-05,Europe,Finland,980
2000-05,Europe,France,5207
2000-05,Europe,Germany,12535
2000-05,Europe,Italy,2565
2000-05,Europe,Netherlands,4978
2000-05,Europe,Norway,1236
2000-05,Europe,Rep Of Ireland,
2000-05,Europe,Russian Federation,
2000-05,Europe,Spain,866
2000-05,Europe,Sweden,2409
2000-05,Europe,Switzerland,3547
2000-05,Europe,United Kingdom,27903
2000-05,Europe,Other Markets In Europe,
2000-05,Oceania,Australia,38100
2000-05,Oceania,New Zealand,7703
2000-05,Oceania,Other Markets In Oceania,1037
2000-05,Africa,Egypt,
2000-05,Africa,Mauritius,
2000-05,Africa,South Africa (Rep Of),
2000-05,Africa,Other Markets In Africa,
2000-06,Southeast Asia,Brunei Darussalam,5533
2000-06,Southeast Asia,Indonesia,105539
2000-06,Southeast Asia,Malaysia,48426
2000-06,Southeast Asia,Myanmar,2062
2000-06,Southeast Asia,Philippines,14706
2000-06,Southeast Asia,Thailand,21446
2000-06,Southeast Asia,Vietnam,3251
2000-06,Southeast Asia,Other Markets In Southeast Asia,
2000-06,Greater China,China,30706
2000-06,Greater China,Hong Kong SAR,22011
2000-06,Greater China,Taiwan,26582
2000-06,Greater China,Other Markets In Greater China,
2000-06,North Asia,Japan,67977
2000-06,North Asia,South Korea,25318
2000-06,North Asia,Other Markets In North Asia,
2000-06,South Asia,Bangladesh,3459
2000-06,South Asia,India,38287
2000-06,South Asia,Pakistan,3597
2000-06,South Asia,Sri Lanka,5121
2000-06,South Asia,Other Markets In South Asia,1399
2000-06,West Asia,Iran,430
2000-06,West Asia,Israel,
2000-06,West Asia,Kuwait,451
2000-06,West Asia,Saudi Arabia,3122
2000-06,West Asia,United Arab Emirates,1670
2000-06,West Asia,Other Markets In West Asia,
2000-06,Americas,Canada,4479
2000-06,Americas,USA,32944
2000-06,Americas,Other Markets In Americas,
2000-06,Europe,Belgium & Luxembourg,1393
2000-06,Europe,Denmark,1761
2000-06,Europe,Finland,1210
2000-06,Europe,France,4839
2000-06,Europe,Germany,10815
2000-06,Europe,Italy,2540
2000-06,Europe,Netherlands,4931
2000-06,Europe,Norway,1776
2000-06,Europe,Rep Of Ireland,na
2000-06,Europe,Russian Federation,na
2000-06,Europe,Spain,977
2000-06,Europe,Sweden,2757
2000-06,Europe,Switzerland,2995
2000-06,Europe,United Kingdom,26517
2000-06,Europe,Other Markets In Europe,na
2000-06,Oceania,Australia,41563
2000-06,Oceania,New Zealand,8765
2000-06,Oceania,Other Markets In Oceania,882
2000-06,Africa,Egypt,na
2000-06,Africa,Mauritius,na
2000-06,Africa,South Africa (Rep Of),na
2000-06,Africa,Other Markets In Africa,na
2000-07,Southeast Asia,Brunei Darussalam,5448
2000-07,Southeast Asia,Indonesia,128207
