country,country_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Europe & Central Asia (excluding high income),ECA,4895.897606,5027.415501,5307.217303,5667.431079,6130.673102,6561.636335,7085.528189,7615.725705,7927.188296,7419.256281,7761.79172,8224.802798,8480.527636,8767.288439,8909.559063,8904.50364,8984.868113,9299.092914,9515.682799
Europe & Central Asia,ECS,20240.51299,20659.83082,20982.23218,21318.59715,21945.03664,22482.22225,23294.90793,24070.82987,24215.47255,23037.92827,23565.09331,24081.03426,24059.35537,24159.73363,24493.37063,24864.09587,25218.6731,25776.4963,26231.9171
Ecuador,ECU,3678.902316,3759.894861,3848.266846,3888.341901,4139.080573,4286.515247,4400.859602,4421.902428,4624.196579,4573.247084,4657.302361,4943.422704,5140.262907,5311.212121,5428.714031,5352.876457,5209.559153,5256.02153,5185.091461
Egypt,EGY,1950.521165,1982.02443,1991.288548,2016.220951,2059.749606,2112.723735,2217.43332,2333.454571,2456.687446,2524.381342,2602.479549,2593.214102,2593.112377,2590.945457,2608.260442,2665.234351,2725.555817,2785.247479,2907.317585
Euro area,EMU,34915.33263,35532.70051,35721.23124,35784.41812,36415.72859,36845.65076,37861.10404,38816.04082,38796.67445,36924.02508,37635.92867,38334.69038,37922.13354,37700.11325,38097.09669,38779.54976,39410.67261,40248.64366,40978.86379
Eritrea,ERI,571.6032306,603.1051001,601.0342469,565.7250537,556.0356399,554.4881994,535.9296731,532.2314773,471.1666248,480.608925,482.1490904,514.1795982,,,,,,,
Spain,ESP,28335.00183,29264.88145,29685.36395,30082.62648,30504.35743,31110.01413,31865.36917,32459.91738,32303.24148,30874.12601,30736.62785,30321.70487,29414.85692,29008.02098,29496.37893,30595.15683,31539.51029,32402.72856,33146.39167
Estonia,EST,10108.20529,10816.60315,11546.77265,12481.18961,13346.39831,14681.22537,16285.00672,17627.02972,16716.50316,14282.6035,14638.60482,15798.63278,16538.2126,16918.58711,17453.00292,17773.00552,18387.76907,19257.47617,19948.92283
Ethiopia,ETH,196.5049622,206.7431435,203.9059129,193.8669151,214.0448315,232.7832002,251.0560465,272.391198,293.8533133,311.3677438,341.3099092,369.58442,391.1317953,421.3841357,452.778236,487.2900105,511.1874265,549.8478727,570.3056768
European Union,EUU,30278.76359,30895.95607,31235.38869,31529.52169,32210.83033,32760.8786,33731.26131,34634.85704,34670.93606,33063.64268,33729.04271,34341.07516,34131.09488,34117.50239,34617.17748,35324.10116,35939.84627,36735.22831,37416.98769
